""
Andrea Bonanomi
Francisco C. Santos 
Sai Hitesh Jonnalagadda
Luke Stark
Juan Mateos-Garcia
Mahmoudreza Babaei
Huimin Xu
Marcin Waniek
Samuel Woolley
Henry Smart Iii
Marcella Morris
Peter Barbrook-Johnson
Andreia Sofia Teixeira
Shubhanshu Mishra
Martin Lukac
Maxime Stauffer
Forough Poursabzi-Sangdeh
Vincent Antonio Traag
Steve Guo 
Telmo Menezes
Marco Schmitt
Mariano Gastón Beiró
Amir Ebrahimi Fard
Júlia Koltai
John Hagan
Diliara Valeeva
Janina Beckmann
Gergő Tóth
Lu Liu
Diego Saez-Trumper
Stiene Praet
Alexandru-Ionut Babeanu
Jisun An
Jonathan H
Anton Boichenko
Carlos Sarraute
Jennifer Van Hook
Peter Van Aelst
Ching Jin
Yoosoon An
George Richardson
Casandra Ciuchina-Szabo
Lorien Jasny
Bruno Lepri
Daniel C. Fehder
Gijs Schumacher 
Mikhail Sokolov
Viacheslav A. Shibaev 
Felicia Loecherbach
Sandrine Mouysset 
Tim Henrichsen
Andreas Breiter
Mansi Sharma 
Victor Suarez-Lledo
Przemyslaw Grabowicz
Felix Victor Münch
Pietro Panzarasa 
Milan Janosov
Dell Zhang
Vincent Buskens
Marina Petrova
Alina Arseniev-Koehler
Jan Van Bavel
Kate Furman 
Jingwen Zhang
Chathika Gunaratne
Tobias Buchmann 
Diego Fregolente Mendes de Oliveira 
Mohamed Musbah
Emily Sullivan
Jake Hofman
David Lazer
Kiyoshi Izumi
Chico Camargo
Ashton Anderson
Denis Bulygin 
Lilia Perfeito
Xiangfei Yuan
Maria Wolters
Eric Plutzer 
Patrick Wolf
Ilse Pit
Jing Zeng
Riccardo Gallotti
Alexandra Pang
Yian Yin
Ludo Waltman
Marios Dikaiakos
No Presentation</p>
(Moved to 3D Text Analysis) Ivan Smirnov
Atte Oksanen
Tyler Amos
Lisette Espín-Noboa
Silke Adam
Giovanna Miritello
Meiyappan Nagappan 
Christian Pipal
Hendrik Heuer
Jonathan Bright
Michael Mauskapf
Yevgeniy Vorobeychik
Joris Broere
C
Georgios Anagnostopoulos
María Pereda
Marie Lindegaard 
Chiara Allegri
Daniel Rubenstein
Caspar Chorus
Manikumar Perla
Johannes Wachs
Milena Tsvetkova
Andrea Santoro
Adam Pah
Elissa M
Carsten Schwemmer
No presentation: Youyou Wu
Hugo de Vos
Takanori Nishida
Dániel Kondor 
Gerrit Jan de Bruin
Marius Sältzer 
Dashun Wang
Etienne Lesot
Zoya Khan
Farhana Ferdousi Liza
Satyam Mukherjee 
Gianluca Carnabuci
Philipe Melo
Joseph D
Galina Daraganova
Yuki Ogawa
Igor Krawczuk 
Hartmut Wessler
Janos Kertesz
William Rand
Chung-Hong Chan
Ulf Liebe
Dominika Czerniawska
Bernard Steunenberg
Tian Yang
Ravi Bhavnani
Yizhi Jing
Masashi Miura
Hannes Rosenbusch
Deok-Sun Lee 
Fabricio Benevenuto
Clara Christner
Ying Ding
Gomez Vicenç
Barbara McGillivray
Alex Furman
Marta Rivera-Alba
Ali Aghelmaleki 
André Grow 
Fabian Flöck
Zoltán Kmetty
Benjamin Vandermarliere
Ifat Emi
Antonio Arechar
Fariba Karimi
Stella Neumann
Andrew King
Jeroen Bruggeman
Till Hoffmann 
Simon Schweighofer 
Chaoming Song
Olga Silyutina
Federico Musciotto
Zeph M. C. van Berlo
Yuan Tian
Alexandre Leroux 
Michele Tizzoni
Chris Janssen
Gary Fireman
Matthieu Brinkhuis
Kevin S. Chan
Daniela Gawehns
Laura Bringmann
Lin Wang
Ronald Robertson
Ju-Sung Lee
Margaret McConnell 
Sang Hoon Lee
Manoel Horta Ribeiro
Richard Zemel
Dhruv Sapra 
Hanno Friedrich
Michaela Schippers
Daniel Straulino
Alex ‘Sandy’ Pentland
Iacopo Pozzana
Martijn Schoonvelde 
Mykola Makhortykh
Kazutoshi Sasahara
Sahil Loomba
Katherine Engelke 
Susumu Nagayama
Elizabeth Bruch
Ivan Smirnov
Sébastien Lerique 
Alexandre Bovet
Amit Sharma
Abhijnan Chakraborty
David Martens
Nick Jones
Lada Adamic 
Robert West
Michael Conover
Scott Althaus
Junichi Ozaki
Shingo Takahashi
Madeline Schiappa
Matteo Gagliolo
Douglas Guilbeault
Kristina Lerman 
Manal Saadi 
Kirill Martynov
Ahmad Alabdulkareem 
Tomo Ogawa
John Stankovic 
Yifan Qian
Abhishek Samantray
Benjamin Meindl
Yimeng Yang
Adrian Weller
Bence Ságvári
Marcel Wittich
Henk Stoof
Daniel J. Flynn 
Vadake Narayanan
Michaela Maier
Marijn ten Thij
Annie Haakenstad
Hiroyasu Matsushima 
Manuel Cebrian
Ian Wood
Ming Xiao
Mark Musen
Yong-Yeol Ahn
Tomasz P
Bernard Rimé
Frank Schweitzer
Jaap van Den Herik 
Edwin de Jonge
George G. Vega Yon
Jorinde van de Vis
Jesse Shore
Kyriacos Vitalis
Pontus Strimling
Cornelius Puschmann
No presentation: Vincent Antonio Traag
Sophie Cho
Gael Le Mens
Hélène Bouchet
Stephen M
Dong Nguyen
Esteban Moro 
Irina Vartanova
Francesco Granella
Julian Kohne
Ming Yin
Isabelle Tingzon
Antske Fokkens
Frederico Francisco 
Neave O’Clery
Arnout van Delden
Shen Yan
Angelo Cardoso
Luis Amaral
Sandra Wankmüller
Dana Fisher
Parizad Bahardoost
Paulo Almeida 
Casper Albers
Yupeng Gu
Nicos Nicolaou
George Pallis
Yuan Yuan
Axel Bruns
Isaac Waller
Aleksandra Urman 
Abeer Aldayel 
Karrie Karahalios
Yasuko Kawahata
Judith Moeller
Nuno Araujo 
Gabor Vattay
Johan Koskinen
Talal Rahwan
Pradip Swarnakar
Shahad Althobaiti
Aleksandra Urman
Graham McNeill 
Nate Dwyer
Filippo Radicchi
Javier Alvarez-Galvez 
Joachim Piepenburg
Yibei Chen 
Yoshiki Ishikawa 
Ivan Garibay
János Kertész 
Anne Cornelia Kroon
Gesa Biermann
Kristina Lerman
Kinga Makovi
Vincenz Frey
Sofia Dokuka
Ramon Gras
Joshua Becker 
Saptarshi Ghosh
Curtis Atkisson
Brigitta Németh
Qiusi Sun
Peter Krafft
Abu Sayeed Mondol
Judith Kas
Ramona Roller
Matthijs van Leeuwen
Gordon Pennycook
Jakob Palinger
Laszlo Lorincz
Fauna Mahootian
Christa Brelsford
Nitin Bhushan
Javier Garcia-Bernardo
Jan van de Laan
Abdullah Almaatouq
Shrikanth Narayanan
Chathura Jayalath
Brent D
Pei Zhou
Xiaowen Dong
Dan Calacci
Lada Adamic
Gian Maria Campedelli
Abigail Horn
Ilya Musabirov
Hsien-Te Kao
Timo Hartmann
Tarik Roukny
Stefano Balietti
Flavio Pinheiro
Nora Ammann
Frank van der Wouden
Joyojeet Pal
Chengcheng Li
Sandro Lera
Anxo Sanchez
Toshiya Saito 
Bogdan State
Simon Walk
Oliver Hohlfeldt
Tamás Rudas
Marcel Wittich 
James P. Gleeson 
Qiankun Zhong 
Jaime Oliver
Marc Keuschnigg
Xiancheng Li
Xinyi Wang
Johannes Bjelland
Iraklis Moutidis
Karsten Donnay
Milan van den Heuvel
Hywel Williams
Márton Karsai
Hyejin Youn
Emily Bello-Pardo
Daniel Larremore
Jeremy Burke
Zachary Steinert-Threlkeld 
Samuel Mueller
Tomosato Nishi 
Joseph Bak-Coleman
Jianjian Gao
Christo Wilson
Zhongkai Sun
Carly Knight
David Schoch
Tyler Amos 
Lijun Sun
Je Hoon Chae
Jens Hainmueller
Allison Morgan
Yi Bu
Jichao Li
Takashi Shimada
Paul Expert
Chathurani Senevirathna 
Gianmarco De Francisci Morales
Sara Encanaçao
Viktor Aigenseer
Fernando Diaz
Mirko Reul
Benjamin Vandermarliere 
Suzan Verberne 
Morgan R
Chenghua Lin
Nisha Baral
Fumiaki Taka
Xu Wang
Damian Trilling
Yannick Léo
Cheng-Jun Wang
Aleksei Rotmistrov
Matteo Magnani
Markus Strohmaier
Kai Zhou
Anupama Aggarwal
Christina Bouwens
Alfredo Morales
Michiel Bakker
William Sethares
Dimitrios Milioris
Domonkos Sik
Camille Roth
Zijian Wang
Jianliang Yang
Ulrich Matter
Yelena Mejova 
Ivan Yamshchikov
Alessandro Provetti
John Lach
Daniel Alexandrov
Arseny Rasov
Dimitra Liotsiou 
Mitsuhiro Odaka
Jussara Almeida
Joanna Sterling
Vedran Sekara
Luca Verginer
Guangqing Chi
Marco Brambilla
Isabel Valera
Ryo Hamawaki
Lorenzo Lucchini
Guanghua Chi
Chathurani Senevirathna
No presentation: Ming Yin
Hiroki Sakaji
Fabrício Benevenuto
Sharon Goldwater
Çağrı Yoltar
Adina Nerghes
Scott Cunningham
Jens Wäckerle
James Gleeson
Kimmo Eriksson
Felipe M. Cardoso
David Gefen
Khyati Mahajan 
Thomas Baudin
Yoshiki Ishikawa
Sait Bayrakdar
Philipp Kling
Fragkiskos Malliaros
Wojtek Przepiorka
Marco De Nadai
Peter Ejbye-Ernst
Raluca Gui
Luis M
Flaminio Squazzoni
Melissa Ellamil
Wouter Van Atteveldt
Reham Al Tamime
Albert Laszlo Barabasi
Simone Centellegher
Alejandro Espinosa-Rada
Eszter Katona
David Rozado
Valerie Hase
Daniele Romanini
Zhifan Luo
Xin Sui 
Antonio Molins
Maria Bolsinova
Linda Steg
Marisa Vasconcelos
Donna Spruijt-Metz
Hernan Makse
Bart Baesens 
Benjamin Meindl 
Jan van der Laan 
Moritz Müller
Mauricio Barahona
Azadeh Nematzadeh
Nikolas Zöller
Gunter Maris
Dr
Jeroen van den Hoven
Santo Fortunato
Jakob Jünger
Priyam Bansal
Hee Youn Kwon
Masanori Takano
Gustavo Jota Resende
Nicolas Cointe
Janos Török
Sjoerd Hooijmaaijers 
Kai Larsen
Ciro Cattuto
Pietro Panzarasa
Petter Törnberg
Fiona Murray 
Adriana Iamnitchi 
Cesar Hidalgo
Loretta Auvil
Dmitry Zinoviev
Juhi Kulshrestha
Kleber A. Oliveira
Jennifer Gewinner 
Ekaterina Marchenko
Trivik Verma
Hang-Hyun Jo
Motahhare Eslami
Eun Lee
Christos Nicolaides
Alberto Sánchez-Carralero
Alexandre P Francisco
Gerardo Iñiguez
Wouter van Atteveldt
Guida Veiga 
Jennifer Allen
André Grow
Alexander Sachs
Mariken A.C.G. van der Velden 
Aurelie Nardy
Takayuki Mizuno
Philippa Shoemark
Philipp Hövel
Nadia Metoui
Dimitrios Bountouridis
Brian Uzzi
Lovro Šubelj
Zhen Zhu 
Jesse Hoey
Jennifer Fest
Alice Jang
Luis C. Reyes
Daniela Paolotti
Adam Pah and Brian Uzzi
Hugo Sousa
Philipp Lorenz-Spreen
Aleksandra Aloric
Meiyi Ma
Ayjeren Rozyjumayeva 
Daniele Silvestro
Jaehyuk Park
Manlio De Domenico
Hartmut Wessler 
Jeroen van Den Ochtend
Markus Meierer 
Marco Tomassini 
Stan Oklobdzija
Lukas Fervers
Claudia Wagner 
Evgenia Dolgova
Lise Getoor
Nan Zhang 
Jaron Harambam 
Yifang Ma
Ellie Yang
Hendrik Nunner
Dino Pedreschi
Helge Reelfs
Sander Scholtus
Yasuhiro Kitakami 
Maksim Tsvetovat
Cristian Jara Figueroa
Adam Hughes
Bjarke Mørch Mønsted
Davide Vega
Alina Vogelgesang
Wim Bernasco
Isabella Loaiza
Stephanie Sy
Fiona Murray
Charles Howland
Eduardo Graells-Garrido
Oren Lederman
Iain Couzin
Akira Ishii
Dimosthenis Stefanidis
